company,period, rev_contributions , rev_program , rev_investment , rev_other , rev_total , exp_grants , exp_member_benefits , exp_salary , exp_fundraising_fees , exp_other , exp_total , net_revenue , assets_total , liabilities_total , net_assets , net_assets_restricted 
New York City Ballet,2019-07," $26,256,344 "," $39,431,090 "," $2,027,214 "," $(236,570)"," $67,478,078 "," $10,319 ", $-   ," $61,295,207 "," $171,768 "," $22,015,455 "," $83,492,749 "," $(16,014,671)"," $301,270,656 "," $24,790,765 "," $276,479,891 "," $183,262,519 "
New York City Ballet,2018-07," $25,061,473 "," $51,172,079 "," $15,279,889 "," $(340,062)"," $91,173,379 "," $31,408 ", $-   ," $66,168,298 "," $239,485 "," $25,335,930 "," $91,775,121 "," $(601,742)"," $325,423,316 "," $30,076,530 "," $295,346,786 "," $188,082,525 "
ABT,2020-01," $21,717,546 "," $4,848,324 "," $370,319 "," $1,096,217 "," $28,032,406 "," $646,174 ", $-   ," $19,233,663 "," $151,419 "," $9,709,323 "," $29,740,579 "," $(1,708,173)"," $65,047,659 "," $18,539,558 "," $46,508,101 "," $43,974,887 "
ABT,2019-01," $22,278,176 "," $23,738,059 "," $962,605 "," $174,206 "," $47,153,046 "," $791,851 ", $-   ," $27,266,693 "," $418,734 "," $20,525,551 "," $49,002,829 "," $(1,849,783)"," $60,582,745 "," $14,635,062 "," $45,947,683 "," $39,348,231 "
Alvin Ailey,2019-07," $15,998,572 "," $20,172,646 "," $4,321,282 "," $(360,197)"," $40,132,303 "," $1,995,797 ", $-   ," $23,821,444 ", $-   ," $16,812,870 "," $42,630,111 "," $(2,497,808)"," $224,568,695 "," $36,387,990 "," $188,180,705 "," $73,668,817 "
Alvin Ailey,2018-07," $11,345,192 "," $24,900,379 "," $12,873,546 "," $(516,821)"," $48,602,296 "," $2,044,467 ", $-   ," $23,518,280 ", $-   ," $19,790,110 "," $45,352,857 "," $3,249,439 "," $224,173,655 "," $36,244,934 "," $187,928,721 "," $71,861,708 "
Boston Ballet,2019-07," $25,676,989 "," $16,298,532 "," $966,038 "," $733,526 "," $43,675,085 ", $-   , $-   ," $16,394,259 ", $-   ," $14,409,074 "," $30,803,333 "," $12,871,752 "," $53,746,348 "," $15,506,510 "," $38,239,838 "," $32,246,627 "
Boston Ballet,2018-07," $11,148,724 "," $21,373,937 "," $445,904 "," $384,832 "," $33,353,397 ", $-   , $-   ," $19,646,340 ", $-   ," $17,089,802 "," $36,736,142 "," $(3,382,745)"," $41,017,120 "," $15,798,317 "," $25,218,803 "," $23,846,182 "
Houston Ballet,2019-07," $15,609,611 "," $12,230,434 "," $4,922,844 "," $890,802 "," $33,653,691 ", $-   , $-   ," $21,018,060 ", $-   ," $11,829,391 "," $32,847,451 "," $806,240 "," $142,349,387 "," $8,316,845 "," $134,032,542 "," $38,374,308 "
Houston Ballet,2018-07," $15,033,629 "," $13,835,115 "," $2,906,930 "," $1,331,357 "," $33,107,031 ", $-   , $-   ," $20,005,711 ", $-   ," $15,007,966 "," $35,013,677 "," $(1,906,646)"," $142,276,831 "," $7,643,239 "," $134,633,592 "," $38,355,044 "
Pacific Northwest Ballet,2019-07," $10,351,453 "," $14,076,971 "," $95,000 "," $388,318 "," $24,911,742 "," $225,153 ", $-   ," $16,428,601 "," $100,910 "," $8,442,230 "," $25,196,894 "," $(285,152)"," $18,272,549 "," $7,359,784 "," $10,912,765 "," $4,085,869 "
Pacific Northwest Ballet,2018-07," $7,596,152 "," $16,878,175 "," $1,005,098 "," $179,142 "," $25,658,567 "," $370,288 ", $-   ," $16,740,156 "," $104,318 "," $9,810,728 "," $27,025,490 "," $(1,366,923)"," $18,243,445 "," $7,045,528 "," $11,197,917 "," $3,302,051 "
Joffrey Ballet,2019-07," $15,523,983 "," $9,417,154 "," $320,933 "," $(12,509)"," $25,249,561 "," $432,119 ", $-   ," $9,842,173 ", $-   ," $9,156,402 "," $19,430,694 "," $5,818,867 "," $37,690,398 "," $4,074,505 "," $33,615,893 "," $16,134,386 "
Joffrey Ballet,2018-07," $8,557,477 "," $13,406,090 "," $154,889 "," $(190,886)"," $21,927,570 "," $632,833 ", $-   ," $10,052,592 ", $-   ," $12,679,840 "," $23,365,265 "," $(1,437,695)"," $31,262,231 "," $2,912,194 "," $28,350,037 "," $10,719,586 "
PA Ballet,2018-08," $9,223,232 "," $6,496,806 "," $128,894 "," $110,309 "," $15,959,241 ", $-   , $-   ," $7,980,575 ", $-   ," $7,813,961 "," $15,794,536 "," $164,705 "," $25,048,788 "," $7,947,685 "," $17,101,103 "," $12,790,034 "
PA Ballet,2017-08," $7,188,096 "," $6,754,120 "," $76,931 "," $136,099 "," $14,155,246 ", $-   , $-   ," $7,026,186 ", $-   ," $7,380,578 "," $14,406,764 "," $(251,518)"," $23,154,015 "," $6,398,259 "," $16,755,756 "," $11,324,867 "
Ballet West,2019-08," $5,372,770 "," $6,188,392 "," $38,464 "," $368,843 "," $11,968,469 ", $-   , $-   ," $7,352,295 ", $-   ," $5,504,302 "," $12,856,597 "," $(888,128)"," $9,757,365 "," $6,631,829 "," $3,125,536 "," $3,201,878 "
Ballet West,2018-08," $5,505,338 "," $7,351,426 "," $34,164 "," $634,054 "," $13,524,982 ", $-   , $-   ," $7,444,357 ", $-   ," $5,826,966 "," $13,271,323 "," $253,659 "," $10,333,103 "," $6,399,558 "," $3,933,545 "," $4,263,464 "
Washington Ballet,2019-07," $5,625,327 "," $7,195,948 "," $129,951 "," $396,129 "," $13,347,355 "," $602,789 ", $-   ," $6,097,787 ", $-   ," $5,801,899 "," $12,502,475 "," $844,880 "," $6,504,363 "," $3,875,162 "," $2,629,201 "," $952,062 "
Washington Ballet,2018-07," $4,185,205 "," $7,962,933 "," $170,482 "," $924,440 "," $13,243,060 "," $304,396 ", $-   ," $6,111,246 ", $-   ," $6,926,306 "," $13,341,948 "," $(98,888)"," $6,992,977 "," $5,205,689 "," $1,787,288 "," $678,125 "
Pittsburgh Ballet Theatre,2019-07," $5,584,140 "," $4,737,062 "," $(526,975)"," $(63,514)"," $9,730,713 "," $531,306 ", $-   ," $4,098,552 ", $-   ," $6,234,872 "," $10,864,730 "," $(1,134,017)"," $20,926,499 "," $2,457,779 "," $18,468,720 "," $13,000,269 "
Pittsburgh Ballet Theatre,2018-07," $7,041,916 "," $5,748,596 "," $(479,420)"," $19,423 "," $12,330,515 "," $485,152 ", $-   ," $3,993,782 ", $-   ," $7,444,059 "," $11,922,993 "," $407,522 "," $20,878,694 "," $2,025,700 "," $18,852,994 "," $12,810,710 "
Atlanta Ballet,2018-07," $2,726,301 "," $7,050,347 "," $192,220 "," $537,889 "," $10,506,757 "," $140,664 ", $-   ," $6,760,213 ", $-   ," $6,548,072 "," $13,448,949 "," $(2,942,192)"," $20,442,727 "," $7,574,764 "," $12,867,963 "," $4,695,136 "
Atlanta Ballet,2017-07," $5,978,079 "," $6,222,535 "," $151,435 "," $345,921 "," $12,697,970 "," $170,246 ", $-   ," $6,081,852 "," $3,419 "," $5,301,365 "," $11,556,882 "," $1,141,088 "," $21,929,444 "," $6,094,807 "," $15,834,637 "," $7,416,294 "
Kansas City Ballet,2019-07," $3,123,847 "," $4,644,283 "," $593,955 "," $119,807 "," $8,481,892 "," $132,255 ", $-   ," $5,677,891 "," $7,375 "," $3,899,511 "," $9,717,032 "," $(1,235,140)"," $41,562,557 "," $2,018,260 "," $39,544,297 "," $16,465,071 "
Kansas City Ballet,2018-07," $7,586,782 "," $5,595,587 "," $721,600 "," $14,356 "," $13,918,325 "," $209,728 ", $-   ," $5,437,542 ", $-   ," $4,263,629 "," $9,910,899 "," $4,007,426 "," $42,232,881 "," $1,458,033 "," $40,774,848 "," $15,988,888 "
Cincinnati Ballet,2018-08," $19,020,065 "," $5,010,675 "," $40,579 "," $462,172 "," $24,533,491 "," $116,253 ", $-   ," $5,016,006 ", $-   ," $5,460,969 "," $10,593,228 "," $13,940,263 "," $20,337,066 "," $1,858,126 "," $18,478,940 "," $2,268,866 "
Cincinnati Ballet,2017-08," $3,885,382 "," $5,356,525 "," $74,678 "," $339,431 "," $9,656,016 "," $44,000 ", $-   ," $4,441,866 ", $-   ," $5,630,814 "," $10,116,680 "," $(460,664)"," $5,914,593 "," $1,399,750 "," $4,514,843 "," $2,268,866 "
Colorado Ballet,2019-07," $3,327,496 "," $6,335,722 "," $33,459 "," $111,539 "," $9,808,216 "," $124,832 ", $-   ," $5,419,237 "," $25,950 "," $3,823,791 "," $9,393,810 "," $414,406 "," $10,776,318 "," $2,657,840 "," $8,118,478 "," $1,133,075 "
Colorado Ballet,2018-07," $3,074,814 "," $7,523,076 "," $32,626 "," $75,262 "," $10,705,778 "," $197,968 ", $-   ," $5,007,580 "," $24,963 "," $4,349,037 "," $9,579,548 "," $1,126,230 "," $9,653,805 "," $1,962,859 "," $7,690,946 "," $558,739 "
Tulsa Ballet,2018-07," $4,456,287 "," $2,165,709 "," $193,558 "," $197,596 "," $7,013,150 "," $137,182 ", $-   ," $3,141,906 ", $-   ," $3,911,839 "," $7,190,927 "," $(177,777)"," $22,480,384 "," $2,143,964 "," $20,336,420 "," $5,958,977 "
Tulsa Ballet,2017-07," $3,817,040 "," $1,920,886 "," $56,635 "," $140,934 "," $5,935,495 "," $110,750 ", $-   ," $2,991,707 ", $-   ," $4,155,096 "," $7,257,553 "," $(1,322,058)"," $23,701,180 "," $2,107,857 "," $21,593,323 "," $6,773,461 "
Oregon Ballet Theatre,2019-07," $2,919,952 "," $4,622,216 "," $103,487 "," $528,641 "," $8,174,296 ", $-   , $-   ," $4,074,592 ", $-   ," $3,598,159 "," $7,672,751 "," $501,545 "," $6,001,266 "," $1,082,299 "," $4,918,967 "," $656,818 "
Oregon Ballet Theatre,2018-07," $2,171,209 "," $5,361,554 "," $117,751 "," $419,138 "," $8,069,652 ", $-   , $-   ," $4,041,221 ", $-   ," $4,037,601 "," $8,078,822 "," $(9,170)"," $6,075,098 "," $1,700,815 "," $4,374,283 "," $591,273 "
Sarasota Ballet,2019-06," $5,038,308 "," $2,121,309 "," $86,040 "," $(45,196)"," $7,200,461 "," $134,855 ", $-   ," $3,820,558 ", $-   ," $2,715,209 "," $6,670,622 "," $529,839 "," $7,176,571 "," $1,792,373 "," $5,384,198 "," $2,537,726 "
Sarasota Ballet,2018-06," $4,094,886 "," $2,525,843 "," $46,446 "," $(76,902)"," $6,590,273 "," $107,936 ", $-   ," $3,686,403 ", $-   ," $3,535,146 "," $7,329,485 "," $(739,212)"," $5,712,679 "," $951,416 "," $4,761,263 "," $2,051,015 "
Milwaukee Ballet,2018-08," $10,122,275 "," $3,876,841 "," $4,862 "," $34,522 "," $14,038,500 "," $292,446 ", $-   ," $3,871,090 "," $108,648 "," $2,841,873 "," $7,114,057 "," $6,924,443 "," $25,661,891 "," $8,143,282 "," $17,518,609 "," $6,532,465 "
Milwaukee Ballet,2017-08," $9,045,425 "," $4,108,496 "," $6,941 "," $77,275 "," $13,238,137 "," $194,442 ", $-   ," $3,458,155 "," $171,383 "," $3,023,604 "," $6,847,584 "," $6,390,553 "," $13,153,287 "," $2,575,500 "," $10,577,787 "," $6,284,194 "
Ballet Met,2019-07," $2,630,844 "," $3,817,889 "," $49,390 "," $21,038 "," $6,519,161 ", $-   , $-   ," $3,911,309 ", $-   ," $2,568,472 "," $6,479,781 "," $39,380 "," $9,575,178 "," $637,414 "," $8,937,764 "," $2,454,621 "
Ballet Met,2018-07," $2,836,878 "," $4,360,744 "," $43,690 "," $86,615 "," $7,327,927 ", $-   , $-   ," $4,204,609 ", $-   ," $2,710,703 "," $6,915,312 "," $412,615 "," $10,455,753 "," $1,587,381 "," $8,868,372 "," $2,840,176 "
Martha Graham,2019-07," $1,895,787 "," $1,266,319 ", $-   ," $33,886 "," $3,195,992 ", $-   , $-   ," $2,004,440 ", $-   ," $1,099,949 "," $3,104,389 "," $91,603 "," $2,154,871 "," $988,933 "," $1,165,938 "," $197,000 "
Martha Graham,2018-07," $2,476,485 "," $1,655,414 ", $-   ," $186,503 "," $4,318,402 ", $-   , $-   ," $2,260,677 ", $-   ," $2,847,769 "," $5,108,446 "," $(790,044)"," $2,540,964 "," $1,466,629 "," $1,074,335 ", $-   
